94,Finance,2,3,,,,,,,,,,,,,
95,Finance,2,3,,,,,,,,,,,,,
96,Finance,2,3,,,,,,,,,,,,,
97,Finance,2,3,,,,,,,,,,,,,
98,Finance,2,3,,,,,,,,,,,,,
99,Finance,2,3,,,,,,,,,,,,,
100,Informatique,2,6,,,,,,,,,,,,,
101,Finance,2,3,,,,,,,,,,,,,
102,BTP,2,6,,,,,,,,,,,,,
103,Informatique,0,3,,,,,,,,,,,,,
104,Industrie,0,3,,,,,,,,,,,,,
105,Production,2,0,,,,,,,,,,,,,
106,Production,2,0,,,,,,,,,,,,,
107,Autres Services,2,6,,,,,,,,,,,,,
108,Santé,2,4,,,,,,,,,,,,,
109,Tourisme,2,3,,,,,,,,,,,,,
110,Audit,3,6,,,,,,,,,,,,,
111,Santé,2,3,,,,,,,,,,,,,
112,Réseaux,2,6,,,,,,,,,,,,,
113,Santé,2,3,,,,,,,,,,,,,
114,Santé,2,3,,,,,,,,,,,,,
115,Aéroportuaire,2,6,,,,,,,,,,,,,
116,Aéroportuaire,2,4,,,,,,,,,,,,,
117,Santé,2,4,,,,,,,,,,,,,
118,Immobilier,2,3,,,,,,,,,,,,,
119,BTP,3,1,,,,,,,,,,,,,
120,Secrétariat,2,4,,,,,,,,,,,,,
121,Finance,0,3,,,,,,,,,,,,,
122,Finance,2,3,,,,,,,,,,,,,
123,Finance,2,3,,,,,,,,,,,,,
124,Finance,2,3,,,,,,,,,,,,,
125,Audit,0,4,,,,,,,,,,,,,
126,Sécurité,2,6,,,,,,,,,,,,,
127,Production,2,0,,,,,,,,,,,,,
128,Tourisme,2,4,,,,,,,,,,,,,
129,Aéroportuaire,2,0,,,,,,,,,,,,,
130,Aéroportuaire,2,0,,,,,,,,,,,,,
131,Sécurité,0,4,,,,,,,,,,,,,
132,Aéroportuaire,3,0,,,,,,,,,,,,,
133,Aéroportuaire,3,0,,,,,,,,,,,,,
134,BTP,0,1,,,,,,,,,,,,,
135,BTP,2,0,,,,,,,,,,,,,
136,BTP,3,1,,,,,,,,,,,,,
137,BTP,0,0,,,,,,,,,,,,,
138,Éducation,3,6,,,,,,,,,,,,,
139,BTP,3,0,,,,,,,,,,,,,
140,Éducation,3,6,,,,,,,,,,,,,
141,BTP,3,0,,,,,,,,,,,,,
142,BTP,4,0,,,,,,,,,,,,,
143,BTP,3,1,,,,,,,,,,,,,
144,BTP,2,0,,,,,,,,,,,,,
145,Informatique,2,6,,,,,,,,,,,,,
146,Informatique,2,6,,,,,,,,,,,,,
147,Informatique,3,6,,,,,,,,,,,,,
148,Autres Services,0,4,,,,,,,,,,,,,
149,Informatique,2,6,,,,,,,,,,,,,
150,Informatique,3,6,,,,,,,,,,,,,
151,Informatique,2,6,,,,,,,,,,,,,
152,Informatique,3,6,,,,,,,,,,,,,
153,BTP,2,1,,,,,,,,,,,,,
154,Finance,0,3,,,,,,,,,,,,,
155,Aéroportuaire,2,0,,,,,,,,,,,,,
156,Ameublement,2,4,,,,,,,,,,,,,
157,Ameublement,2,4,,,,,,,,,,,,,
158,Ameublement,2,3,,,,,,,,,,,,,
159,Production,2,3,,,,,,,,,,,,,
160,BTP,2,3,,,,,,,,,,,,,
161,Tourisme,2,3,,,,,,,,,,,,,
162,Tourisme,2,3,,,,,,,,,,,,,
163,BTP,2,3,,,,,,,,,,,,,
164,Autres Services,2,6,,,,,,,,,,,,,
165,Tourisme,2,3,,,,,,,,,,,,,
166,BTP,3,1,,,,,,,,,,,,,
167,BTP,0,1,,,,,,,,,,,,,
168,BTP,0,6,,,,,,,,,,,,,
